Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 3, 1)",0.006546612420733761,3,555249.0,553062.0,556697.0
BenchmarkParseTextGzip,"(1, 4, 1)",0.009352724032586558,4,628480.0,625074.5,630952.5
BenchmarkParseProto,"(1, 3, 1)",0.007734283018395277,3,159678.66666666666,159164.0,160399.0
BenchmarkParseProtoGzip,"(2, 2, 2)",0.008758485235409919,8,222813.5,221803.1225,223798.525625
BenchmarkParseProtoMap,"(1, 3, 1)",0.006110880795969131,3,167242.66666666666,166651.0,167673.0
BenchmarkDiscriminatorHTTPHeader,"(1, 4, 1)",0.009041203587892649,4,6995.75,6961.75,7025.0
BenchmarkOpenMetricsCreate,"(3, 1, 1)",0.0022423619545921705,3,7135.333333333333,7128.0,7144.0
BenchmarkCreate,"(1, 3, 1)",0.003413475808845355,3,6738.0,6730.0,6753.0
BenchmarkCreateBuildInfo,"(1, 3, 1)",0.00992761116856253,3,322.3333333333333,320.8,324.0
BenchmarkTextParse,"(1, 3, 2)",0.00827189444601368,6,199430.33333333334,198517.3925,200136.43166666667
BenchmarkParseError,"(1, 5, 3)",0.009927780731412579,15,57556.2,57298.59966666667,57870.668
BenchmarkLabelNames,"(3, 4, 5)",0.009350982194004539,60,279.3066666666667,278.10332500000004,280.6633583333333
BenchmarkLabelValues,"(1, 3, 2)",0.00923291405911144,6,268.98333333333335,267.98333333333335,270.4666666666667
BenchmarkMetric,"(1, 4, 1)",0.00904893813481071,4,1353.75,1349.0,1361.25
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",0.001261918115535662,3,2.377333333333333,2.376,2.379
BenchmarkLabelToSignatureSingle,"(3, 1, 1)",0.004627589246363962,3,151.26666666666668,150.9,151.6
BenchmarkLabelToSignatureDouble,"(1, 3, 1)",0.005673375658516956,3,246.76666666666665,245.9,247.30000000000004
BenchmarkLabelToSignatureTriple,"(1, 3, 1)",0.006293266205160478,3,317.8,316.5,318.5
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",0.0004729623206686114,3,2.114333333333333,2.114,2.115
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",0.009463722397476379,3,147.93333333333334,147.0,148.4
BenchmarkMetricToFingerprintDouble,"(1, 3, 1)",0.008552810209068555,3,245.53333333333333,244.30000000000004,246.4
BenchmarkMetricToFingerprintTriple,"(3, 1, 1)",0.0015680535228935818,3,318.8666666666666,318.7,319.2
BenchmarkMetricToFastFingerprintScalar,"(3, 1, 1)",0.004291287386215912,3,2.5633333333333335,2.556,2.567
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",0.00045583468395463643,3,65.81333333333333,65.8,65.83
BenchmarkMetricToFastFingerprintDouble,"(1, 4, 1)",0.008215085884988968,4,100.425,100.1,100.95
BenchmarkMetricToFastFingerprintTriple,"(3, 1, 1)",0.0037869224943196163,3,132.03333333333333,131.8,132.3
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.21810234066912587,75,4.192533333333333e-05,3.770388000000001e-05,4.6894839999999966e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.05619323285757056,75,133.5866666666667,130.75866666666667,138.25733333333332
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 3, 1)",0.003226456946965045,3,99.18,99.02,99.33999999999999
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 1, 1)",0.0019159019864881128,3,99.17,99.09999999999998,99.29
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 1)",0.001203610832497253,3,99.7,99.65000000000002,99.77
